payment_id,order_id,payment_status,captured_at,captured_amount
8001,5001,CAPTURED,2026-03-31T23:45:00+08:00,3000
8002,5002,CAPTURED,2026-04-05T09:35:00+08:00,6500
8003,5003,FAILED,,0
8004,5004,CAPTURED,2026-04-15T13:05:00+08:00,1000
8005,5005,CAPTURED,2026-05-01T00:25:00+08:00,1900
8006,5006,CAPTURED,2026-05-10T10:05:00+08:00,600
8007,5007,CAPTURED,2026-05-22T10:05:00+08:00,300
8008,5008,AUTHORIZED,,810
8009,5008,CAPTURED,2026-06-30T23:55:00+08:00,810
8010,5009,CAPTURED,2026-07-01T00:15:00+08:00,700
8011,5010,CAPTURED,2026-06-15T14:35:00+08:00,3000
8012,5010,CAPTURED,2026-06-15T14:36:00+08:00,2400
8013,5011,CAPTURED,2026-04-30T23:45:00+08:00,1700
8014,5012,CAPTURED,2026-04-01T00:10:00+08:00,500
